BMI,Breakfast 1,Breakfast 2,Lunch 1,Lunch 2,Dinner 1,Dinner 2,Food Type,BMR,Total Calories
16.8,Pancakes,Smoothie,Soup,Chicken Wrap,Chicken Curry,Grilled Steak,Non-Veg,1327,2650
32.2,Granola,Smoothie,Soup,Grilled Chicken Salad,Grilled Salmon,Spaghetti,Non-Veg,1507,1550
17.0,Egg Sandwich,Oatmeal,Grilled Chicken Salad,Sushi,Chicken Curry,Grilled Salmon,Non-Veg,1498,2500
20.7,Yogurt,Egg Sandwich,Grilled Chicken Salad,Chicken Wrap,Lentil Soup,Veggie Pizza,Non-Veg,1672,1950
22.9,Pancakes,Cereal,Turkey Sandwich,Grilled Chicken Salad,Chicken Stir Fry,Spaghetti,Non-Veg,1708,2050
29.0,Yogurt,Smoothie,Turkey Sandwich,Grilled Chicken Salad,Tacos,Chicken Curry,Non-Veg,1292,1800
18.0,Pancakes,Granola,Burrito Bowl,Pasta Salad,Tacos,Stuffed Peppers,Veg,1550,2800
18.8,Yogurt,Scrambled Eggs,Vegetable Stir Fry,Veggie Wrap,Veggie Pizza,Veggie Burger,Non-Veg,1570,1800
27.6,Scrambled Eggs,Cereal,Soup,Quinoa Salad,Veggie Pizza,Grilled Steak,Non-Veg,1711,2150
31.1,Cereal,Smoothie,Sushi,Pasta Salad,Chicken Curry,Spaghetti,Non-Veg,1812,2000
25.6,Yogurt,Avocado Toast,Pasta Salad,Turkey Sandwich,Tacos,Stuffed Peppers,Veg,1780,2150
21.0,Smoothie,Egg Sandwich,Soup,Turkey Sandwich,Tacos,Grilled Steak,Non-Veg,1710,2100
16.3,Yogurt,Granola,Grilled Chicken Salad,Chicken Wrap,Lentil Soup,Tacos,Non-Veg,1681,2550
31.2,Yogurt,Smoothie,Soup,Sushi,Veggie Pizza,Stuffed Peppers,Veg,1301,1500
19.9,Yogurt,Granola,Soup,Burrito Bowl,Veggie Pizza,Stuffed Peppers,Non-Veg,1376,2000
27.4,Yogurt,Oatmeal,Quinoa Salad,Chicken Wrap,Chicken Stir Fry,Tacos,Non-Veg,1728,1900
28.0,Cereal,Fruit Salad,Pasta Salad,Turkey Sandwich,Veggie Burger,Stuffed Peppers,Veg,1538,1600
24.3,Oatmeal,Scrambled Eggs,Burrito Bowl,Veggie Wrap,Chicken Stir Fry,Veggie Pizza,Non-Veg,1581,1950
16.5,Pancakes,Oatmeal,Chicken Wrap,Grilled Chicken Salad,Lentil Soup,Chicken Curry,Non-Veg,1638,2500
34.4,Pancakes,Granola,Veggie Wrap,Quinoa Salad,Tacos,Grilled Steak,Non-Veg,1783,2100
24.0,Fruit Salad,Scrambled Eggs,Pasta Salad,Sushi,Chicken Curry,Grilled Salmon,Non-Veg,1702,1900
20.7,Oatmeal,Scrambled Eggs,Sushi,Chicken Wrap,Grilled Steak,Veggie Pizza,Non-Veg,1758,2000
22.9,Smoothie,Pancakes,Sushi,Quinoa Salad,Spaghetti,Grilled Salmon,Non-Veg,1933,2000
29.5,Egg Sandwich,Scrambled Eggs,Grilled Chicken Salad,Soup,Spaghetti,Veggie Burger,Non-Veg,1710,1750
22.9,Egg Sandwich,Smoothie,Soup,Burrito Bowl,Grilled Steak,Chicken Curry,Non-Veg,1743,2250
26.3,Pancakes,Egg Sandwich,Burrito Bowl,Vegetable Stir Fry,Veggie Burger,Stuffed Peppers,Non-Veg,1357,1850
29.7,Pancakes,Fruit Salad,Chicken Wrap,Burrito Bowl,Grilled Steak,Veggie Burger,Non-Veg,1328,1950
24.0,Yogurt,Fruit Salad,Pasta Salad,Chicken Wrap,Lentil Soup,Veggie Pizza,Non-Veg,1462,1800
24.2,Oatmeal,Granola,Burrito Bowl,Vegetable Stir Fry,Chicken Curry,Chicken Stir Fry,Non-Veg,1577,2150
28.8,Yogurt,Smoothie,Chicken Wrap,Soup,Veggie Burger,Spaghetti,Non-Veg,1391,1700
28.6,Granola,Cereal,Chicken Wrap,Grilled Chicken Salad,Spaghetti,Chicken Stir Fry,Non-Veg,1333,1950
15.4,Smoothie,Granola,Pasta Salad,Quinoa Salad,Chicken Curry,Spaghetti,Non-Veg,1634,2800
22.4,Cereal,Pancakes,Sushi,Pasta Salad,Stuffed Peppers,Spaghetti,Veg,1845,2000
32.2,Egg Sandwich,Granola,Veggie Wrap,Turkey Sandwich,Chicken Stir Fry,Veggie Pizza,Non-Veg,1766,2050
20.9,Egg Sandwich,Smoothie,Quinoa Salad,Soup,Stuffed Peppers,Veggie Pizza,Non-Veg,1475,1850
15.5,Yogurt,Oatmeal,Vegetable Stir Fry,Turkey Sandwich,Veggie Burger,Lentil Soup,Veg,1624,2200
31.8,Fruit Salad,Pancakes,Vegetable Stir Fry,Burrito Bowl,Veggie Pizza,Chicken Stir Fry,Non-Veg,1414,1850
18.0,Yogurt,Avocado Toast,Turkey Sandwich,Pasta Salad,Tacos,Spaghetti,Veg,1671,2650
24.1,Granola,Scrambled Eggs,Burrito Bowl,Chicken Wrap,Chicken Stir Fry,Lentil Soup,Non-Veg,1505,2150
19.9,Yogurt,Granola,Quinoa Salad,Chicken Wrap,Lentil Soup,Veggie Pizza,Non-Veg,1574,2000
33.4,Yogurt,Cereal,Turkey Sandwich,Sushi,Spaghetti,Grilled Steak,Non-Veg,1782,2150
29.2,Cereal,Yogurt,Soup,Chicken Wrap,Tacos,Spaghetti,Non-Veg,1589,1750
18.4,Cereal,Avocado Toast,Veggie Wrap,Chicken Wrap,Stuffed Peppers,Grilled Steak,Non-Veg,1277,2600
25.2,Egg Sandwich,Fruit Salad,Vegetable Stir Fry,Veggie Wrap,Grilled Salmon,Spaghetti,Non-Veg,1460,1700
15.7,Granola,Smoothie,Pasta Salad,Soup,Stuffed Peppers,Grilled Salmon,Non-Veg,1938,2450
26.1,Granola,Cereal,Pasta Salad,Vegetable Stir Fry,Grilled Salmon,Chicken Stir Fry,Non-Veg,1611,1750
33.2,Fruit Salad,Scrambled Eggs,Sushi,Soup,Tacos,Spaghetti,Non-Veg,1542,1650
20.4,Avocado Toast,Fruit Salad,Quinoa Salad,Turkey Sandwich,Veggie Pizza,Spaghetti,Non-Veg,1411,2000
16.7,Yogurt,Avocado Toast,Sushi,Chicken Wrap,Spaghetti,Stuffed Peppers,Non-Veg,1550,2500
20.4,Avocado Toast,Cereal,Sushi,Grilled Chicken Salad,Chicken Stir Fry,Tacos,Non-Veg,1572,1900
17.6,Scrambled Eggs,Smoothie,Sushi,Quinoa Salad,Spaghetti,Grilled Steak,Non-Veg,1588,2550
16.4,Cereal,Egg Sandwich,Burrito Bowl,Turkey Sandwich,Grilled Salmon,Chicken Stir Fry,Non-Veg,1360,2650
26.6,Smoothie,Avocado Toast,Sushi,Turkey Sandwich,Veggie Burger,Spaghetti,Non-Veg,1542,1800
16.3,Yogurt,Granola,Chicken Wrap,Vegetable Stir Fry,Veggie Pizza,Chicken Curry,Non-Veg,1310,2650
32.9,Avocado Toast,Fruit Salad,Veggie Wrap,Burrito Bowl,Lentil Soup,Grilled Steak,Non-Veg,1561,2000
17.4,Fruit Salad,Cereal,Pasta Salad,Vegetable Stir Fry,Stuffed Peppers,Spaghetti,Veg,1641,2350
25.1,Scrambled Eggs,Avocado Toast,Pasta Salad,Veggie Wrap,Grilled Salmon,Grilled Steak,Non-Veg,1765,1850
24.2,Yogurt,Scrambled Eggs,Quinoa Salad,Turkey Sandwich,Tacos,Lentil Soup,Non-Veg,1227,1850
29.7,Egg Sandwich,Avocado Toast,Grilled Chicken Salad,Turkey Sandwich,Grilled Steak,Grilled Salmon,Non-Veg,1273,1950
17.1,Smoothie,Granola,Pasta Salad,Grilled Chicken Salad,Veggie Burger,Chicken Curry,Non-Veg,1479,2700
18.7,Cereal,Avocado Toast,Grilled Chicken Salad,Turkey Sandwich,Stuffed Peppers,Grilled Steak,Non-Veg,1400,2050
15.4,Pancakes,Oatmeal,Burrito Bowl,Soup,Chicken Curry,Tacos,Non-Veg,1673,2600
16.3,Pancakes,Granola,Chicken Wrap,Pasta Salad,Veggie Pizza,Grilled Salmon,Non-Veg,1604,2750
22.5,Oatmeal,Avocado Toast,Quinoa Salad,Burrito Bowl,Grilled Steak,Grilled Salmon,Non-Veg,1370,2150
17.9,Egg Sandwich,Scrambled Eggs,Veggie Wrap,Grilled Chicken Salad,Tacos,Veggie Burger,Non-Veg,1460,2550
16.0,Scrambled Eggs,Pancakes,Chicken Wrap,Grilled Chicken Salad,Veggie Pizza,Tacos,Non-Veg,1448,2600
34.6,Oatmeal,Granola,Soup,Veggie Wrap,Chicken Stir Fry,Grilled Salmon,Non-Veg,1234,1350
19.9,Fruit Salad,Egg Sandwich,Soup,Pasta Salad,Grilled Steak,Spaghetti,Non-Veg,1659,2050
18.4,Yogurt,Fruit Salad,Grilled Chicken Salad,Chicken Wrap,Grilled Salmon,Veggie Pizza,Non-Veg,1510,2350
32.0,Avocado Toast,Egg Sandwich,Turkey Sandwich,Vegetable Stir Fry,Spaghetti,Grilled Steak,Non-Veg,1430,1750
17.7,Yogurt,Avocado Toast,Pasta Salad,Sushi,Grilled Steak,Grilled Salmon,Non-Veg,1895,2500
16.0,Pancakes,Egg Sandwich,Vegetable Stir Fry,Turkey Sandwich,Stuffed Peppers,Tacos,Non-Veg,1599,2550
30.7,Yogurt,Pancakes,Quinoa Salad,Grilled Chicken Salad,Tacos,Veggie Burger,Non-Veg,1543,1850
25.6,Smoothie,Scrambled Eggs,Pasta Salad,Chicken Wrap,Lentil Soup,Tacos,Non-Veg,1759,2100
20.2,Fruit Salad,Scrambled Eggs,Quinoa Salad,Turkey Sandwich,Tacos,Chicken Stir Fry,Non-Veg,1745,1850
34.2,Smoothie,Avocado Toast,Pasta Salad,Sushi,Spaghetti,Veggie Pizza,Non-Veg,1513,1550
16.9,Fruit Salad,Avocado Toast,Vegetable Stir Fry,Quinoa Salad,Chicken Stir Fry,Stuffed Peppers,Non-Veg,1724,2200
24.4,Egg Sandwich,Granola,Burrito Bowl,Sushi,Stuffed Peppers,Grilled Steak,Non-Veg,1290,2300
23.7,Yogurt,Scrambled Eggs,Turkey Sandwich,Grilled Chicken Salad,Stuffed Peppers,Chicken Curry,Non-Veg,1545,1950
17.4,Granola,Pancakes,Grilled Chicken Salad,Turkey Sandwich,Spaghetti,Grilled Salmon,Non-Veg,1767,2750
17.8,Egg Sandwich,Scrambled Eggs,Grilled Chicken Salad,Veggie Wrap,Grilled Salmon,Lentil Soup,Non-Veg,1492,2400
32.9,Scrambled Eggs,Fruit Salad,Soup,Turkey Sandwich,Lentil Soup,Stuffed Peppers,Non-Veg,1503,1600
17.9,Smoothie,Avocado Toast,Veggie Wrap,Sushi,Veggie Pizza,Spaghetti,Veg,1589,2500
27.3,Yogurt,Smoothie,Burrito Bowl,Grilled Chicken Salad,Chicken Curry,Grilled Steak,Non-Veg,1393,1950
23.1,Scrambled Eggs,Pancakes,Sushi,Burrito Bowl,Grilled Salmon,Spaghetti,Non-Veg,1939,2150
31.8,Egg Sandwich,Granola,Vegetable Stir Fry,Chicken Wrap,Tacos,Grilled Salmon,Non-Veg,1857,2250
15.1,Cereal,Fruit Salad,Quinoa Salad,Soup,Stuffed Peppers,Tacos,Veg,1763,2200
21.7,Cereal,Yogurt,Soup,Grilled Chicken Salad,Stuffed Peppers,Chicken Stir Fry,Non-Veg,1630,1650
32.2,Pancakes,Smoothie,Soup,Chicken Wrap,Lentil Soup,Veggie Pizza,Non-Veg,1434,1550
26.9,Granola,Oatmeal,Chicken Wrap,Turkey Sandwich,Spaghetti,Chicken Stir Fry,Non-Veg,1575,1950
25.6,Cereal,Smoothie,Chicken Wrap,Turkey Sandwich,Chicken Stir Fry,Veggie Burger,Non-Veg,1609,1750
16.6,Pancakes,Avocado Toast,Pasta Salad,Quinoa Salad,Stuffed Peppers,Grilled Steak,Non-Veg,1638,2600
24.8,Fruit Salad,Cereal,Grilled Chicken Salad,Sushi,Lentil Soup,Stuffed Peppers,Non-Veg,1698,2000
32.7,Scrambled Eggs,Granola,Veggie Wrap,Turkey Sandwich,Grilled Steak,Chicken Stir Fry,Non-Veg,1528,1650
19.5,Smoothie,Avocado Toast,Soup,Quinoa Salad,Tacos,Veggie Pizza,Non-Veg,1644,1900
31.6,Yogurt,Scrambled Eggs,Veggie Wrap,Sushi,Tacos,Chicken Curry,Non-Veg,1596,1800
19.6,Scrambled Eggs,Cereal,Vegetable Stir Fry,Sushi,Veggie Burger,Tacos,Non-Veg,1882,2250
20.2,Cereal,Granola,Pasta Salad,Soup,Chicken Stir Fry,Chicken Curry,Non-Veg,1470,2050
21.1,Fruit Salad,Oatmeal,Soup,Chicken Wrap,Veggie Burger,Chicken Stir Fry,Non-Veg,1682,1700
34.6,Smoothie,Oatmeal,Quinoa Salad,Chicken Wrap,Chicken Curry,Veggie Pizza,Non-Veg,1632,1950
17.6,Oatmeal,Pancakes,Quinoa Salad,Grilled Chicken Salad,Spaghetti,Chicken Curry,Non-Veg,1545,2600
16.7,Fruit Salad,Granola,Vegetable Stir Fry,Burrito Bowl,Chicken Stir Fry,Veggie Pizza,Non-Veg,1931,2500
17.8,Avocado Toast,Cereal,Sushi,Burrito Bowl,Spaghetti,Grilled Steak,Non-Veg,1482,2750
17.5,Scrambled Eggs,Cereal,Turkey Sandwich,Pasta Salad,Chicken Stir Fry,Grilled Steak,Non-Veg,1929,2550
23.8,Fruit Salad,Smoothie,Grilled Chicken Salad,Soup,Spaghetti,Veggie Burger,Non-Veg,1626,1800
18.4,Pancakes,Yogurt,Sushi,Quinoa Salad,Tacos,Veggie Pizza,Non-Veg,1384,2400
31.6,Pancakes,Avocado Toast,Quinoa Salad,Pasta Salad,Lentil Soup,Chicken Curry,Non-Veg,1611,1700
33.8,Scrambled Eggs,Fruit Salad,Quinoa Salad,Turkey Sandwich,Lentil Soup,Tacos,Non-Veg,1589,1600
28.3,Avocado Toast,Yogurt,Soup,Chicken Wrap,Grilled Steak,Grilled Salmon,Non-Veg,1715,1750
33.8,Egg Sandwich,Cereal,Sushi,Veggie Wrap,Grilled Steak,Lentil Soup,Non-Veg,1575,1800
33.1,Avocado Toast,Granola,Burrito Bowl,Quinoa Salad,Veggie Burger,Chicken Curry,Non-Veg,1580,1850
16.6,Fruit Salad,Oatmeal,Soup,Turkey Sandwich,Chicken Stir Fry,Spaghetti,Non-Veg,1862,2250
26.0,Granola,Smoothie,Grilled Chicken Salad,Chicken Wrap,Grilled Salmon,Grilled Steak,Non-Veg,1884,2000
27.0,Scrambled Eggs,Cereal,Chicken Wrap,Grilled Chicken Salad,Chicken Curry,Grilled Steak,Non-Veg,1919,1950
32.2,Yogurt,Fruit Salad,Chicken Wrap,Grilled Chicken Salad,Chicken Stir Fry,Veggie Burger,Non-Veg,1567,1800
31.2,Smoothie,Oatmeal,Sushi,Veggie Wrap,Grilled Steak,Veggie Burger,Non-Veg,1587,1750
34.0,Avocado Toast,Fruit Salad,Turkey Sandwich,Vegetable Stir Fry,Lentil Soup,Veggie Pizza,Veg,1716,1950
23.0,Smoothie,Oatmeal,Burrito Bowl,Sushi,Grilled Steak,Veggie Burger,Non-Veg,1295,2050
28.5,Granola,Oatmeal,Vegetable Stir Fry,Quinoa Salad,Grilled Salmon,Grilled Steak,Non-Veg,1563,1800
16.2,Granola,Cereal,Burrito Bowl,Chicken Wrap,Grilled Steak,Veggie Pizza,Non-Veg,1542,2900
18.2,Pancakes,Cereal,Grilled Chicken Salad,Soup,Veggie Pizza,Chicken Stir Fry,Non-Veg,1644,2300
34.9,Fruit Salad,Pancakes,Soup,Grilled Chicken Salad,Grilled Steak,Tacos,Non-Veg,1707,2100
26.2,Avocado Toast,Egg Sandwich,Pasta Salad,Turkey Sandwich,Veggie Pizza,Tacos,Non-Veg,1578,1950
25.9,Fruit Salad,Pancakes,Pasta Salad,Veggie Wrap,Spaghetti,Stuffed Peppers,Veg,1477,1700
31.2,Fruit Salad,Pancakes,Soup,Quinoa Salad,Stuffed Peppers,Grilled Steak,Non-Veg,1610,1700
31.3,Granola,Fruit Salad,Sushi,Veggie Wrap,Lentil Soup,Grilled Salmon,Non-Veg,1361,1800
18.1,Granola,Cereal,Grilled Chicken Salad,Chicken Wrap,Tacos,Veggie Burger,Non-Veg,1583,2700
25.9,Oatmeal,Granola,Quinoa Salad,Chicken Wrap,Chicken Stir Fry,Stuffed Peppers,Non-Veg,1474,1750
31.1,Avocado Toast,Yogurt,Veggie Wrap,Vegetable Stir Fry,Stuffed Peppers,Chicken Stir Fry,Non-Veg,1618,1800
25.3,Smoothie,Pancakes,Soup,Quinoa Salad,Stuffed Peppers,Grilled Salmon,Non-Veg,1720,2000
25.4,Cereal,Oatmeal,Grilled Chicken Salad,Quinoa Salad,Grilled Steak,Stuffed Peppers,Non-Veg,1485,1650
27.9,Cereal,Granola,Veggie Wrap,Grilled Chicken Salad,Spaghetti,Stuffed Peppers,Non-Veg,1173,1850
17.6,Granola,Fruit Salad,Grilled Chicken Salad,Turkey Sandwich,Spaghetti,Stuffed Peppers,Non-Veg,1774,2550
24.6,Fruit Salad,Cereal,Vegetable Stir Fry,Quinoa Salad,Tacos,Chicken Stir Fry,Non-Veg,1958,2100
28.7,Oatmeal,Cereal,Pasta Salad,Chicken Wrap,Chicken Curry,Spaghetti,Non-Veg,1562,1950
16.4,Egg Sandwich,Avocado Toast,Vegetable Stir Fry,Pasta Salad,Veggie Burger,Grilled Steak,Non-Veg,1390,2650
15.7,Pancakes,Fruit Salad,Turkey Sandwich,Pasta Salad,Veggie Burger,Spaghetti,Veg,1410,2550
30.6,Scrambled Eggs,Granola,Pasta Salad,Veggie Wrap,Chicken Curry,Grilled Steak,Non-Veg,1537,1800
20.8,Yogurt,Smoothie,Sushi,Chicken Wrap,Stuffed Peppers,Chicken Stir Fry,Non-Veg,1241,1800
29.2,Egg Sandwich,Cereal,Vegetable Stir Fry,Turkey Sandwich,Chicken Stir Fry,Chicken Curry,Non-Veg,1578,1800
34.3,Cereal,Pancakes,Burrito Bowl,Soup,Stuffed Peppers,Chicken Curry,Non-Veg,1547,1550
34.4,Smoothie,Cereal,Chicken Wrap,Veggie Wrap,Grilled Steak,Lentil Soup,Non-Veg,1422,1500
23.5,Oatmeal,Avocado Toast,Quinoa Salad,Veggie Wrap,Spaghetti,Grilled Steak,Non-Veg,1664,2100
17.7,Scrambled Eggs,Oatmeal,Pasta Salad,Chicken Wrap,Veggie Pizza,Lentil Soup,Non-Veg,1813,2400
24.8,Cereal,Granola,Sushi,Veggie Wrap,Lentil Soup,Spaghetti,Non-Veg,1692,2000
29.3,Yogurt,Avocado Toast,Soup,Quinoa Salad,Grilled Steak,Spaghetti,Non-Veg,1490,1750
27.7,Scrambled Eggs,Granola,Pasta Salad,Chicken Wrap,Chicken Curry,Tacos,Non-Veg,1776,2100
33.6,Oatmeal,Egg Sandwich,Sushi,Burrito Bowl,Grilled Steak,Lentil Soup,Non-Veg,1874,2300
16.7,Pancakes,Smoothie,Sushi,Grilled Chicken Salad,Chicken Stir Fry,Lentil Soup,Non-Veg,1618,2250
25.2,Pancakes,Scrambled Eggs,Pasta Salad,Chicken Wrap,Chicken Stir Fry,Spaghetti,Non-Veg,1642,1900
22.8,Pancakes,Avocado Toast,Vegetable Stir Fry,Soup,Veggie Burger,Spaghetti,Veg,1576,1950
22.7,Yogurt,Scrambled Eggs,Burrito Bowl,Sushi,Veggie Burger,Chicken Curry,Non-Veg,1482,2050
17.8,Avocado Toast,Fruit Salad,Quinoa Salad,Vegetable Stir Fry,Spaghetti,Grilled Steak,Non-Veg,1398,2500
30.6,Cereal,Egg Sandwich,Vegetable Stir Fry,Grilled Chicken Salad,Chicken Stir Fry,Stuffed Peppers,Non-Veg,1374,1600
34.6,Smoothie,Cereal,Grilled Chicken Salad,Vegetable Stir Fry,Chicken Curry,Grilled Steak,Non-Veg,1929,2050
28.1,Oatmeal,Yogurt,Sushi,Turkey Sandwich,Spaghetti,Tacos,Non-Veg,1766,2200
31.1,Pancakes,Granola,Burrito Bowl,Turkey Sandwich,Stuffed Peppers,Tacos,Veg,1970,2200
15.6,Fruit Salad,Smoothie,Turkey Sandwich,Sushi,Chicken Stir Fry,Veggie Burger,Non-Veg,1705,2250
25.6,Avocado Toast,Granola,Quinoa Salad,Grilled Chicken Salad,Chicken Stir Fry,Grilled Salmon,Non-Veg,1371,1800
27.2,Egg Sandwich,Yogurt,Sushi,Vegetable Stir Fry,Lentil Soup,Chicken Stir Fry,Non-Veg,1477,1950
24.7,Scrambled Eggs,Oatmeal,Grilled Chicken Salad,Soup,Chicken Stir Fry,Stuffed Peppers,Non-Veg,1620,1650
26.4,Granola,Fruit Salad,Quinoa Salad,Burrito Bowl,Veggie Burger,Chicken Stir Fry,Non-Veg,1768,1800
15.9,Avocado Toast,Yogurt,Pasta Salad,Grilled Chicken Salad,Tacos,Veggie Pizza,Non-Veg,1581,2500
31.3,Pancakes,Granola,Pasta Salad,Soup,Tacos,Spaghetti,Veg,1492,1700
34.2,Oatmeal,Cereal,Chicken Wrap,Grilled Chicken Salad,Chicken Stir Fry,Chicken Curry,Non-Veg,1246,1500
15.1,Yogurt,Scrambled Eggs,Soup,Turkey Sandwich,Stuffed Peppers,Tacos,Non-Veg,1570,2300
17.6,Cereal,Scrambled Eggs,Chicken Wrap,Quinoa Salad,Stuffed Peppers,Tacos,Non-Veg,1636,2500
16.0,Egg Sandwich,Pancakes,Chicken Wrap,Pasta Salad,Veggie Pizza,Chicken Stir Fry,Non-Veg,1642,2650
22.0,Yogurt,Avocado Toast,Vegetable Stir Fry,Grilled Chicken Salad,Chicken Curry,Veggie Burger,Non-Veg,1469,1950
18.4,Fruit Salad,Yogurt,Quinoa Salad,Sushi,Grilled Salmon,Chicken Curry,Non-Veg,1911,2300
31.8,Egg Sandwich,Avocado Toast,Turkey Sandwich,Quinoa Salad,Stuffed Peppers,Grilled Steak,Non-Veg,1474,1650
16.9,Yogurt,Pancakes,Burrito Bowl,Vegetable Stir Fry,Veggie Burger,Lentil Soup,Non-Veg,1411,2400
31.9,Scrambled Eggs,Cereal,Sushi,Pasta Salad,Veggie Pizza,Chicken Curry,Non-Veg,1392,1500
31.1,Scrambled Eggs,Egg Sandwich,Burrito Bowl,Veggie Wrap,Tacos,Chicken Stir Fry,Non-Veg,1670,2100
34.1,Cereal,Scrambled Eggs,Turkey Sandwich,Burrito Bowl,Grilled Steak,Chicken Curry,Non-Veg,1615,1800
32.3,Pancakes,Smoothie,Veggie Wrap,Quinoa Salad,Grilled Salmon,Stuffed Peppers,Non-Veg,1316,1400
30.2,Oatmeal,Yogurt,Quinoa Salad,Burrito Bowl,Lentil Soup,Grilled Salmon,Non-Veg,1894,1950
33.9,Egg Sandwich,Smoothie,Burrito Bowl,Quinoa Salad,Veggie Burger,Tacos,Non-Veg,1943,2200
27.8,Oatmeal,Egg Sandwich,Pasta Salad,Quinoa Salad,Grilled Steak,Lentil Soup,Non-Veg,1751,2100
17.1,Granola,Pancakes,Burrito Bowl,Pasta Salad,Lentil Soup,Grilled Steak,Non-Veg,1762,2800
24.6,Fruit Salad,Granola,Chicken Wrap,Veggie Wrap,Grilled Steak,Lentil Soup,Non-Veg,1637,2050
25.1,Granola,Cereal,Burrito Bowl,Soup,Spaghetti,Veggie Burger,Veg,1392,1950
28.3,Egg Sandwich,Avocado Toast,Soup,Burrito Bowl,Tacos,Veggie Pizza,Non-Veg,1508,1900
29.6,Egg Sandwich,Smoothie,Grilled Chicken Salad,Burrito Bowl,Chicken Curry,Spaghetti,Non-Veg,1509,2100
20.5,Pancakes,Smoothie,Pasta Salad,Chicken Wrap,Grilled Salmon,Veggie Pizza,Non-Veg,1290,2100
18.1,Granola,Oatmeal,Sushi,Chicken Wrap,Chicken Curry,Veggie Burger,Non-Veg,1730,2650
24.3,Yogurt,Smoothie,Turkey Sandwich,Pasta Salad,Stuffed Peppers,Spaghetti,Veg,1315,2000
16.5,Cereal,Pancakes,Veggie Wrap,Soup,Grilled Salmon,Veggie Burger,Non-Veg,1371,2350
31.2,Avocado Toast,Cereal,Vegetable Stir Fry,Chicken Wrap,Chicken Stir Fry,Grilled Salmon,Non-Veg,1398,1450
25.2,Smoothie,Granola,Quinoa Salad,Pasta Salad,Lentil Soup,Tacos,Veg,1661,1800
18.2,Cereal,Granola,Sushi,Chicken Wrap,Chicken Stir Fry,Grilled Steak,Non-Veg,1325,2650
20.8,Cereal,Oatmeal,Chicken Wrap,Burrito Bowl,Veggie Burger,Lentil Soup,Non-Veg,1791,2000
17.8,Oatmeal,Cereal,Pasta Salad,Soup,Veggie Burger,Veggie Pizza,Veg,1994,2300
22.3,Scrambled Eggs,Oatmeal,Turkey Sandwich,Quinoa Salad,Tacos,Veggie Pizza,Non-Veg,1979,2350
34.2,Yogurt,Avocado Toast,Grilled Chicken Salad,Turkey Sandwich,Chicken Stir Fry,Veggie Pizza,Non-Veg,1675,1900
30.1,Avocado Toast,Granola,Pasta Salad,Chicken Wrap,Veggie Pizza,Lentil Soup,Non-Veg,1860,1950
20.3,Egg Sandwich,Oatmeal,Turkey Sandwich,Burrito Bowl,Chicken Stir Fry,Veggie Burger,Non-Veg,1740,2100
23.9,Yogurt,Egg Sandwich,Vegetable Stir Fry,Soup,Tacos,Spaghetti,Non-Veg,1247,1950
29.3,Egg Sandwich,Smoothie,Vegetable Stir Fry,Veggie Wrap,Veggie Burger,Stuffed Peppers,Non-Veg,1394,1650
33.1,Yogurt,Avocado Toast,Burrito Bowl,Pasta Salad,Veggie Burger,Spaghetti,Non-Veg,1413,1700
26.7,Oatmeal,Egg Sandwich,Sushi,Quinoa Salad,Grilled Salmon,Veggie Pizza,Non-Veg,1717,2000
16.3,Pancakes,Scrambled Eggs,Quinoa Salad,Pasta Salad,Grilled Steak,Stuffed Peppers,Non-Veg,1460,2550
34.3,Fruit Salad,Oatmeal,Grilled Chicken Salad,Burrito Bowl,Stuffed Peppers,Spaghetti,Non-Veg,1403,1450
25.8,Fruit Salad,Egg Sandwich,Sushi,Burrito Bowl,Chicken Curry,Grilled Steak,Non-Veg,1619,1950
29.2,Fruit Salad,Scrambled Eggs,Grilled Chicken Salad,Veggie Wrap,Tacos,Chicken Stir Fry,Non-Veg,1796,2100
25.4,Egg Sandwich,Pancakes,Burrito Bowl,Veggie Wrap,Grilled Salmon,Stuffed Peppers,Non-Veg,1676,1900
32.6,Yogurt,Avocado Toast,Veggie Wrap,Pasta Salad,Grilled Salmon,Chicken Curry,Non-Veg,1697,1850
16.4,Cereal,Smoothie,Quinoa Salad,Sushi,Lentil Soup,Stuffed Peppers,Non-Veg,1407,2200
21.6,Yogurt,Cereal,Sushi,Turkey Sandwich,Spaghetti,Veggie Burger,Veg,1323,1950
29.3,Scrambled Eggs,Cereal,Burrito Bowl,Soup,Grilled Salmon,Chicken Stir Fry,Non-Veg,1783,2100
18.1,Egg Sandwich,Yogurt,Turkey Sandwich,Quinoa Salad,Grilled Steak,Lentil Soup,Non-Veg,1386,2500
21.3,Yogurt,Oatmeal,Quinoa Salad,Veggie Wrap,Grilled Steak,Chicken Stir Fry,Non-Veg,1663,1850
33.2,Cereal,Fruit Salad,Sushi,Veggie Wrap,Grilled Steak,Grilled Salmon,Non-Veg,1374,1750
17.9,Granola,Yogurt,Sushi,Chicken Wrap,Grilled Steak,Veggie Pizza,Non-Veg,1963,2650
16.3,Yogurt,Avocado Toast,Chicken Wrap,Soup,Grilled Salmon,Spaghetti,Non-Veg,1311,2500
20.8,Oatmeal,Granola,Quinoa Salad,Chicken Wrap,Stuffed Peppers,Lentil Soup,Non-Veg,1597,1950
25.6,Smoothie,Cereal,Chicken Wrap,Soup,Spaghetti,Chicken Stir Fry,Non-Veg,1757,1900
